"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Arid5a",3.97282287340381,2.24404312326949e-07,0.0014426931256054,0.849141824481066,0.999993275143934
"Kansl3",21.9888385699563,-4.62855071680421e-07,0.00144268388059803,0.868729700014522,0.999993275143934
"Lman2l",13.331996069936,3.9515147959062e-07,0.00144269083375995,0.823344614816183,0.999993275143934
"Cnnm4",2.78072437140241,1.04229121674755e-07,0.00144269329149055,0.930849262975412,0.999993275143934
"Cnnm3",8.94228809719383,7.89638399140638e-07,0.00144269054142362,0.667442586084929,0.999993275143934
"Ankrd23",0.382167090142879,-5.96426134405165e-07,0.00144269499462882,0.909231555484143,0.999993275143934
"Ankrd39",17.7029672352387,1.19309984847253e-06,0.00144269068708399,0.516898794673049,0.999993275143934
"Sema4c",29.2896997348034,-3.17187748977002e-07,0.00144269134078143,0.841842204066594,0.999993275143934
"D430040D24Rik",0.582979858253809,-5.29801209195187e-07,0.00144269464844993,0.359745881203575,0.999993275143934
"Fam178b",7.4966769846158,-2.40756889297287e-07,0.00144269401529169,0.771630488477291,0.999993275143934
"Gm6428",0.821950928670613,2.65480597135817e-07,0.00144269454162168,0.640315817468507,0.999993275143934
"Cox5b",420.52388140491,-3.03045466102401e-08,0.00144268135173226,0.989203834770048,0.999993275143934
"Actr1b",62.8990540538956,1.77169372171268e-06,0.00144268134041491,0.583247207227055,0.999993275143934
"Zap70",6.73917695723577,-2.39919528601164e-07,0.00144269302272088,0.837131864386826,0.999993275143934
"Tmem131",13.5348964023066,7.41385468676001e-07,0.00144268928645922,0.722275037784234,0.999993275143934
"Gm38115",1.58505039278245,1.24114930070465e-07,0.00144269400401888,0.886708156903602,0.999993275143934
"Rpl12-ps1",1.99085129945042,9.04722946538898e-07,0.00144269438025877,0.248617105648803,0.999993275143934
"Inpp4a",8.85137619317872,1.07304054611939e-08,0.00144269327706257,0.993733772007431,0.999993275143934
"Coa5",30.1775844564257,3.47966143596622e-06,0.00144268642287775,0.212962641305127,0.999993275143934
