"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Fblim1",29.4304966988285,-1.41032841562982,0.367824258488874,5.80446984736733e-06,0.00164597966400422
"Tnfrsf9",330.832135539093,-1.62887385293317,0.532455548809233,0.000139868461527449,0.0148424315935319
"Arhgef16",3.06740271811381,-4.03326570646707,1.34530411090374,0.000103618861750975,0.0118902564164145
"Fgl2",21.2128167025239,-4.14156440087303,0.600984493759109,7.59508981549658e-13,2.13984060461801e-09
"AI506816",57.0104172951017,0.853564797140723,0.349225278676111,0.00056301999172677,0.0400568819366415
"Ppp2r2c",14.9774235191851,-3.26835658319872,0.936571234763174,2.28434413991337e-05,0.00440815834232323
"Fgfbp1",11.4018088163948,-5.38894113398303,1.1992109727138,1.08512475625655e-07,8.60111205940468e-05
"Tec",9.13625142148314,-1.10867595608208,0.457372270769638,0.000585627123296498,0.0412486464293889
"Uba6",35.6949674146861,-0.988571563898059,0.401565274634284,0.000687721712043175,0.045251716209737
"Afp",43.0074487549308,-0.0372490789919863,0.147320636825759,3.77088628403846e-05,0.0063698187937822
"Rassf6",2.10768006572658,-0.0824046105648949,0.17763687430863,0.000390931332038153,0.0300931676197894
"Tmem119",38.8459881556788,-3.05043520154348,0.423978998864929,5.8343285817549e-14,2.73960622437271e-10
"Pxn",47.6319385783285,-0.677909658488431,0.278099005222328,0.000718694913304475,0.04644153781523
"Rasal1",6.62859300401155,-3.81103580183964,0.892786915903476,1.3327035277394e-06,0.000582841266006037
"Auts2",17.7205457942601,1.18250009317638,0.523376906025826,0.00060207429554894,0.0417803970512213
"Sy0",2.65408603695408,-0.0608836328334696,0.159806770053008,0.000406901220834521,0.0311522690103038
"Serpine1",253.610791921004,-1.01589586194401,0.362367823580549,0.000267390519239602,0.0224210133602873
"Pdgfa",12.9163465970598,-2.5902071540396,0.492809251882022,8.90190712174576e-09,1.0450097135336e-05
"Fscn1",79.4642027317508,-1.01973137988454,0.424848498568313,0.000736473119214184,0.0471577128653192
"Rasl11a",52.3445929070995,3.39372695869019,1.2913881105704,8.5209378810524e-05,0.010813914588323
"Cdx2",3.07815015531569,-0.0542122322041211,0.155740720256843,0.000148800058101656,0.0154128413123385
"Sgce",15.8857144971786,-0.131751370627671,0.255919591313734,0.000422251201863669,0.0321527171927217
"D630045J12Rik",23.9309708066459,1.40156687993805,0.512817949536236,0.000232496735892419,0.0204698844907282
"Rarres2",302.694411816736,-2.19779729844737,0.657580374187013,6.28963706756869e-05,0.0086864820951804
"Gkn1",4.74471518575787,-3.58021581120983,0.739762978398324,1.16740991621925e-07,8.65542288935823e-05
"Chst13",3.99844798839474,-3.8789093081809,1.13035222129684,1.97485276524086e-05,0.00415220162745493
"Pparg",12.4609203668639,-4.55491726868964,0.946260647016173,1.31775281761323e-07,9.28159197085876e-05
"Mical3",19.1126221164752,-0.881344258717845,0.346632264447171,0.000425482983023336,0.032224617106719
"Mgp",905.874528114099,1.79311387444302,0.651205800164268,9.46195333738482e-05,0.0115364577008771
"Zfp667",15.9651092531505,-1.84258703396436,0.628792321010545,0.000187403963031117,0.017599730848129
"Ceacam11",9.39559704244601,-0.103643419911361,0.206784420052706,2.09554233178358e-06,0.000756920636611161
"Ercc1",46.9743461273963,-0.854900587540394,0.355785177545104,0.000684097881731839,0.0452436002814855
"Bcam",61.6891902534124,1.10085751205677,0.322109647603916,2.07751153249e-05,0.0043038095526745
"Krt8-ps",6.81130593013299,-2.80355595756776,0.799644463821001,2.71725714871552e-05,0.00503657913867835
"Fbxo27",10.8571623901757,-0.167571545715858,0.386031497947572,0.000266313034868064,0.0224210133602873
"Rinl",17.5102456165754,-1.41511196287235,0.579979299531062,0.000645468793814526,0.0439261782534552
"Krtdap",191.097740532234,1.98607160550669,0.803774816911287,0.000185011249543411,0.0174916340424029
"Klk9",32.5396582712123,3.52691166220978,1.11623128857651,3.74773457050509e-05,0.0063698187937822
"Dkkl1",10.5808018365946,-5.43645888144075,1.17801589828643,1.0990275933079e-07,8.60111205940468e-05
"Pcsk6",7.64325418843624,-3.31475571964057,0.718341102900596,3.97831578384731e-07,0.000210068953880111
"Slco3a1",10.2021503043631,-1.26360143974867,0.562500484161171,0.000777881367689065,0.0493604271470083
"Scnn1b",32.5828881141342,-1.78652150292121,0.565003775093206,8.33211548302811e-05,0.0107496310519062
"Tubgcp2",14.1685403592184,-0.979014869911863,0.382123164349864,0.000445860084284492,0.0335873315899232
"Sct",328.234453102505,-2.52018751359668,0.78848528077907,0.000109512313491734,0.0124411287109521
"Lsp1",161.830231287587,-1.83311599162284,0.510234582294752,2.19267756033967e-05,0.00435045757640914
"Gm49394",3.11943280029029,-5.29633484266382,1.55353903561609,4.17535911266903e-06,0.00128464415617013
"Ascl2",6.58631805789635,-0.125201044432473,0.245284553597556,4.53736682152233e-05,0.00710198737942056
"Slc22a18",10.7185121881548,-0.095573672194571,0.193927536081895,0.000132350861797081,0.0143417430010421
"Adgrg6",17.685672854401,-1.99724301921093,0.781724386147126,0.000513172860333903,0.037608222306444
"Arhgap18",18.2491947361006,-1.1847794725914,0.410808525087862,0.000204795880280673,0.0189799971415384
"Cd24a",35.0338730639345,1.89910631250667,0.676087703257837,0.000122893735030214,0.0136835673524153
"Bcr",52.4311380847661,-1.72306072534393,0.633539585024887,0.000338048804509995,0.026456075050735
"Rrp1",104.268921330306,0.609117880531642,0.19515232072394,9.87276923334707e-05,0.0117862457788271
"Fstl3",42.4760391607661,-1.42599200546279,0.432153060818368,5.65560994524181e-05,0.00804753306046681
"Chst11",20.057851046878,-1.58584191771093,0.41853970485013,8.04001999259905e-06,0.00202876329076986
"1500009L16Rik",25.0975838843976,-3.06277063695607,0.731302438199311,2.74477229300524e-06,0.000966640182289119
"Slc25a3",647.822700124297,0.431426919336082,0.140355920383932,0.000158275171200351,0.0157129205897866
"Ppm1h",29.0390421317648,1.26753079438637,0.553267126882628,0.000521536604997585,0.037676339254364
"Ndufa4l2",25.3844451031259,-1.79183769013467,0.462169591344012,6.52521646734025e-06,0.00176770623798889
"AV026068",324.608174328145,1.11025217740549,0.370740196487466,7.35246273963838e-05,0.00974525857764915
"Lpl",5.47408933458735,-3.0965008459028,0.756347991657815,3.17724666266962e-06,0.0010656636604054
"Isy01",151.999075552469,1.23120521263739,0.47913023004715,0.00022316119044565,0.0201438974206589
"Ifi30",99.8866419944818,0.78641358570273,0.320090943586276,0.000509044980900734,0.0375440662091552
"Tpm4",308.242682875299,-0.482233690698707,0.144866501500267,7.3573049349948e-05,0.00974525857764915
"Adcy7",19.4098840650459,-1.71924358595694,0.700328072049237,0.000608379014690756,0.0420109567644543
"Adgrg1",15.3660638938978,-1.74827671963554,0.457650025354568,5.39805180096969e-06,0.00158421574417208
"Cdh1",10.0798567648927,-1.56278051774452,0.564038061854625,0.000288308539518252,0.0236209528362109
"Tubb3",17.4844742890214,-2.5445823455399,0.799728783238732,8.39397611776588e-05,0.0107496310519062
"1700110I01Rik",3.31083878827692,-0.0922286832206553,0.188024670446056,0.000548564018193021,0.0394266394096178
"Tnnc1",13.2177315792172,2.8029694002206,0.57748281527729,1.42531123578673e-07,9.56112351358461e-05
"Sema3g",19.3122613153038,-1.10895739621175,0.464278817133115,0.000710744513349032,0.0461394376016029
"Vstm4",15.7839153815341,-2.01220670877173,0.65409144518645,0.000103819233280258,0.0118902564164145
"Ear1",39.5453069277921,-2.25634898808743,0.658284846772038,3.79828763170089e-05,0.0063698187937822
"Ero1l",79.3297321445212,-1.08416502417576,0.365047865134587,0.000168484196208008,0.0164822004998765
"Gzmn",11.9992971231218,-0.0846612698828795,0.1804103265909,0.000707329063169421,0.0461302986706835
"Gm8961",23.8662903957117,-0.119862049450738,0.234429973090399,7.40216275863178e-05,0.00974525857764915
"Ebpl",115.001578259379,1.0402505157279,0.406885012908287,0.000283555738315285,0.0234967628567495
"Synb",4.99451286631478,-0.0570537000228915,0.157578432425227,9.25362177882625e-05,0.0114347166665198
"Gpc6",15.2375560731944,1.55585085860128,0.548133703635067,0.00016276521045882,0.0160340805575762
"Apoa4",6.83474321928951,-0.0639309507804861,0.16206933592525,0.000222721981256953,0.0201438974206589
"Pstpip1",18.7231651560503,-1.52846829718342,0.608823419994738,0.000570615484266355,0.0403932679741716
"Gm6166",10.7387858201903,-2.08305553508707,0.547427835316415,5.86040339100361e-06,0.00164597966400422
"Col12a1",14.9522584540433,-1.20653819160423,0.378141208198712,7.31901459330854e-05,0.00974525857764915
"Prss35",24.5961090550068,-1.54121982284333,0.609751432386353,0.000628058049212842,0.0429488045595209
"Atp1b3",221.623263597041,0.677732927295086,0.244259835532639,0.00022694847231991,0.020234323604877
"Spink8",16.9115131165111,3.38268843596882,1.68613871329222,0.000674649323804525,0.0449119321593815
"Ccrl2",6.85162138519157,-2.25223456467462,0.797116791387729,0.00029752706638483,0.024087722897489
"Egfr",62.9643204428891,1.71386601886003,0.556627530168783,5.20757178653257e-05,0.00756279007802932
"Hba-a1",1856.71110596621,-1.47509487636383,0.423911851766376,3.23587573468907e-05,0.00569797268432062
"Hba-a2",389.741304835094,-1.21917478991217,0.407927381299279,0.000158389630421644,0.0157129205897866
"Cldn7",11.6753400169596,-2.31153173990872,0.574550041208197,3.82811837969131e-06,0.00125410938638864
"Traf4",6.98866873968872,-2.0645411222185,0.707624427344474,0.000129382584310119,0.0142391598841926
"Rab34",30.9520296770069,1.22126040268113,0.476133090820787,0.000248047523656837,0.0215119647156535
"Unc119",16.8373459178334,-1.27024009150607,0.532930400471683,0.000690645203740574,0.045251716209737
"Nos2",7.7684134372983,-2.67503866620249,0.891098431203932,0.000177134106664762,0.0169747493917449
"Lgals9",354.934462803642,-0.814672014029612,0.277091982142031,0.000184331162587334,0.0174916340424029
"9130204K15Rik",5.5422683313849,-0.131602472608861,0.254545465015776,0.000463118215391642,0.0347018420224577
"Tmem98",12.2712165871208,1.42041657836757,0.591408792471259,0.000516490584694824,0.037608222306444
"Tmem132e",3.04242849175411,-0.0585114806260194,0.15836318668684,0.000238574365530767,0.0208745160697634
"Car4",70.4482555197523,-3.28725794828751,0.897500628739454,2.12528418069604e-05,0.00433896786282102
"B4galnt2",2.17096026275524,-4.20105072310612,1.21245867427637,8.2089520532322e-06,0.00202876329076986
"2410003L11Rik",6.67733659729309,-3.08096337152789,0.905690901830141,4.5074836470566e-05,0.00710198737942056
"Jup",55.6912258535347,-1.34948426266092,0.489766262829323,0.000292306950975492,0.0238018960600679
"Wnk4",9.65628006564409,1.96626211361412,0.729987490136843,0.000363246131408616,0.0281156497425999
"Slc4a1",3.74695110779404,-0.0717116843560066,0.168060251275557,0.000288408027814885,0.0236209528362109
"Limd2",26.8729626899607,-1.80938506784882,0.437191783775826,1.89220450806193e-06,0.000701460129080748
"Notum",21.213394085893,3.21017479889515,1.13884253720224,0.00011430612836971,0.0128818434427529
"Pfkp",67.4023542690852,-0.939390309835854,0.211021681049272,4.86528333678014e-07,0.000244775879875792
"Gm48544",3.88099388818596,-3.22545212881489,1.04420178722875,9.16932745175764e-05,0.0114308244082221
"Gpld1",83.7135947228768,2.66722205883928,0.766562877988087,8.07659856917575e-06,0.00202876329076986
"Prl3b1",514.087941810026,-0.149938793099803,0.337514242239908,4.49887700576892e-20,5.61103436744503e-16
"Prl2b1",175.452849913397,-8.98159924155606,1.01781842802514,7.96625877396896e-20,5.61103436744503e-16
"Prl7b1",128.511814396307,-0.102156543232839,0.206665623460054,2.30618599387153e-13,8.12181052391706e-10
"Prl7c1",11.5772835723441,-8.2132146073326,2.8661033204507,1.80698618412069e-08,1.81821531255058e-05
"Fgd3",6.84370146006564,-1.39039454191955,0.568634235105561,0.000503997803843733,0.0375440662091552
"Sema4d",18.2488765492348,-1.86292185448005,0.616088961706259,0.000141185904275806,0.0148424315935319
"Gas1",31.2400570118484,2.04154596722574,0.673927707916134,6.77126748973704e-05,0.00926085875028405
"4930486L24Rik",17.027477961696,-2.1459176173125,0.507408328360252,1.36784795788136e-06,0.000582841266006037
"Ctsj",359.527304128758,-0.0335212346195747,0.145890516859872,4.12201405197436e-05,0.00667434620116814
"Ctsr",46.7055907917136,-0.0836763574492565,0.18170977350028,2.47261322693043e-10,3.48317025277689e-07
"Fam49a",13.1950141266476,-1.36833522744063,0.518715135026988,0.000272071226196794,0.0226785051090783
"Flvcr2",5.38681462923639,-5.00507691013679,1.18801401666085,2.02455648961894e-07,0.000122511402678402
"Tgfb3",10.3115947147122,-1.25279641696825,0.528522812654432,0.000651012105774339,0.0440904208367458
"Dlk1",12.494252588859,-3.85400432465257,0.951533048380151,5.95903761370164e-06,0.00164597966400422
"Meg3",37.8518131276845,-1.86795097958027,0.673961255526165,0.000323551805633459,0.0256060353143738
"Rian",23.2715461741219,-2.24392652075563,0.644967941566663,3.2227195109662e-05,0.00569797268432062
"Tdrd9",7.45589407755333,-2.58284721662309,0.762393178031,4.80835026188384e-05,0.00728335807947932
"Kif26a",12.3410640761831,-1.47707927694543,0.548037249607886,0.000305227467129106,0.0245699390254155
"Gm6768",4.81572140370297,-1.93932210533367,0.577291841506879,3.97300031028797e-05,0.00652905232924126
"Col14a1",27.7565262547588,4.02596131323987,1.52878642693853,9.58163946193387e-05,0.0115364577008771
"Ptp4a3",32.5146226240865,-2.10984847252718,0.524329790491253,4.06401219467563e-06,0.00128464415617013
"Eppk1",6.3737327100226,-2.32302886366707,0.800880925583422,0.000136806932102251,0.0147114446757588
"Csdc2",12.336145490718,3.55184524960382,0.942010088604602,1.33748832610636e-05,0.00303890291126779
"Endou",12.0790161443843,-2.59626491697067,0.514709304631945,3.33486860388211e-08,3.13188626819249e-05
"Ccdc184",3.80912657562115,-4.26972720257392,1.13967372739315,1.84448952298443e-06,0.000701460129080748
"Bin2",18.0553430782988,-1.9745327696194,0.641234162815506,0.000123362891584918,0.0136835673524153
"Galnt6",3.54399361718306,-3.02536960626187,0.810555345689646,1.58174703940322e-05,0.00348157352251143
"Prr13",206.008177655696,-0.588294865341652,0.154803099526764,1.01161591746306e-05,0.0024153615981868
"Prodh",10.1559084105617,2.83707266060715,0.803950616238557,3.40568109871057e-05,0.00592294193055997
"Cyp2ab1",14.4624995218922,-1.93169598788925,0.476809116214316,2.92726317549058e-06,0.00100576478910087
"Liph",11.8240335203826,-4.18854485386017,0.908099112239006,4.02630918915524e-07,0.000210068953880111
"St6gal1",5.81879070369103,-1.93060361607112,0.573110689683996,4.71070955450748e-05,0.00721301798851597
"Pla1a",19.2868570726944,-1.899956960006,0.631014326805704,0.000154246560032064,0.0156411493124136
