"X"	"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"58"	"Eppk1"	6.3737327100226	-2.32302886366707	0.800880925583422	0.000136806932102251	0.0147114446757588
"59"	"Endou"	12.0790161443843	-2.59626491697067	0.514709304631945	3.33486860388211e-08	3.13188626819249e-05
"60"	"Ccdc184"	3.80912657562115	-4.26972720257392	1.13967372739315	1.84448952298443e-06	0.000701460129080748
"61"	"Galnt6"	3.54399361718306	-3.02536960626187	0.810555345689646	1.58174703940322e-05	0.00348157352251143
"62"	"Cyp2ab1"	14.4624995218922	-1.93169598788925	0.476809116214316	2.92726317549058e-06	0.00100576478910087
"63"	"St6gal1"	5.81879070369103	-1.93060361607112	0.573110689683996	4.71070955450748e-05	0.00721301798851597
"64"	"Pla1a"	19.2868570726944	-1.899956960006	0.631014326805704	0.000154246560032064	0.0156411493124136
"65"	"Thbs2"	24.5374957440183	-4.60204504541313	0.756739894564589	1.14147256369036e-10	2.00999050058826e-07
"66"	"Tff1"	9.29702233978728	-3.50615154227284	0.663591402508188	1.54539822753509e-08	1.67461729471437e-05
"67"	"H2-K1"	363.297455251221	-1.15123539176587	0.189608158700231	8.18851206471119e-11	1.64787956365124e-07
"68"	"H2-D1"	563.783290702793	-1.01819536992681	0.218653753671766	2.08722486283924e-07	0.000122511402678402
"69"	"H2-Q6"	23.3754038661412	-1.94216660856566	0.463206501120601	1.40672982495956e-06	0.000582841266006037
"70"	"Qpct"	70.5210129769622	-1.64373937165205	0.481266289192218	3.98593384194469e-05	0.00652905232924126
"71"	"Myo5b"	2.97369837052735	-5.14059035228219	1.47194512782019	9.12377892278476e-07	0.000428422245617563
"72"	"Scgb1a1"	215.38114937254	-1.82894687900904	0.421513009861161	1.01167748419162e-06	0.000459725829671204
"73"	"Tcf7l2"	8.45638297214195	-1.54078698022817	0.556725529153996	0.000224504287289234	0.0201438974206589
